filename,num_sentences,num_bullets,num_matching
476.txt,6,1,0
478.txt,4,1,1
481.txt,8,7,1
482.txt,5,1,1
483.txt,12,5,4
484.txt,6,4,3
485.txt,4,1,0
486.txt,9,4,2
488.txt,8,1,0
489.txt,10,1,1
490.txt,8,1,0
491.txt,4,2,0
493.txt,6,1,0
494.txt,13,1,0
495.txt,5,1,1
498.txt,12,2,2
500.txt,6,2,1
501.txt,5,1,1
504.txt,7,5,3
507.txt,4,1,0
509.txt,11,5,8
511.txt,6,2,2
512.txt,7,1,0
513.txt,15,6,2
516.txt,5,1,0
517.txt,5,4,2
520.txt,7,3,3
521.txt,5,3,1
522.txt,7,7,1
524.txt,7,5,2
525.txt,9,4,1
526.txt,3,2,1
528.txt,4,3,2
530.txt,3,1,1
531.txt,5,4,4
533.txt,9,3,5
534.txt,7,3,0
535.txt,9,7,5
537.txt,7,1,1
540.txt,6,4,2
541.txt,11,6,4
545.txt,5,4,3
546.txt,3,1,1
547.txt,5,1,0
548.txt,7,1,0
549.txt,11,4,3
551.txt,5,3,2
552.txt,6,2,2
553.txt,8,3,3
555.txt,5,1,0
558.txt,7,1,1
564.txt,9,4,4
567.txt,7,2,1
568.txt,10,8,7
569.txt,19,6,4
573.txt,7,3,0
574.txt,6,6,2
575.txt,6,1,1
576.txt,12,8,7
578.txt,7,1,1
580.txt,5,1,0
583.txt,8,3,1
585.txt,7,5,2
586.txt,11,8,11
587.txt,8,1,0
590.txt,8,2,3
591.txt,10,2,1
592.txt,7,2,2
593.txt,7,4,1
594.txt,10,4,3
596.txt,6,1,0
597.txt,11,5,3
598.txt,3,2,0
599.txt,4,1,1
600.txt,5,3,0
601.txt,10,6,5
603.txt,4,1,0
604.txt,7,1,0
605.txt,7,2,2
606.txt,9,2,0
607.txt,5,2,1
608.txt,6,1,0
610.txt,5,4,2
611.txt,10,2,0
612.txt,5,7,4
613.txt,4,1,0
615.txt,9,2,1
616.txt,10,2,1
617.txt,5,1,1
619.txt,5,2,2
620.txt,6,2,0
621.txt,5,1,1
623.txt,8,3,1
624.txt,7,6,5
627.txt,6,3,2
628.txt,15,6,5
631.txt,6,5,2
633.txt,6,1,1
634.txt,4,2,0
635.txt,3,3,1
636.txt,7,2,1
637.txt,4,1,0
638.txt,4,1,1
640.txt,6,1,0
641.txt,6,1,0
643.txt,2,1,1
644.txt,4,1,1
645.txt,5,1,1
646.txt,7,1,0
647.txt,8,6,3
648.txt,6,2,2
649.txt,8,2,0
650.txt,21,12,10
651.txt,9,3,4
653.txt,5,1,1
655.txt,6,1,1
656.txt,5,2,2
659.txt,6,3,2
660.txt,6,1,0
661.txt,6,2,0
662.txt,2,1,0
664.txt,8,1,0
665.txt,3,1,1
666.txt,7,6,2
667.txt,10,5,3
669.txt,10,4,3
670.txt,7,2,2
671.txt,8,3,1
672.txt,4,4,2
674.txt,11,2,1
675.txt,5,2,1
677.txt,8,7,12
678.txt,10,5,1
679.txt,6,1,0
680.txt,6,1,1
681.txt,11,2,0
682.txt,9,2,0
684.txt,5,2,1
685.txt,9,5,2
686.txt,8,2,3
687.txt,9,3,1
688.txt,18,5,4
689.txt,9,3,9
692.txt,8,2,2
693.txt,5,3,2
694.txt,5,1,0
695.txt,7,7,3
697.txt,5,3,3
698.txt,4,1,1
699.txt,5,5,4
700.txt,7,3,1
701.txt,7,4,4
702.txt,8,4,2
703.txt,4,1,1
705.txt,4,2,2
706.txt,5,3,0
709.txt,11,5,2
710.txt,6,1,1
711.txt,8,2,1
712.txt,5,1,1
713.txt,10,6,4
714.txt,6,2,1
715.txt,8,3,4
716.txt,3,2,1
718.txt,5,1,1
723.txt,6,4,2
724.txt,5,1,1
726.txt,10,3,1
728.txt,8,1,2
729.txt,10,3,5
730.txt,3,1,0
732.txt,6,2,2
733.txt,13,2,3
736.txt,5,5,6
738.txt,4,1,0
742.txt,6,1,2
743.txt,4,1,1
744.txt,9,2,3
745.txt,6,2,0
746.txt,7,3,1
747.txt,4,1,1
749.txt,7,3,2
750.txt,10,1,0
752.txt,6,2,1
753.txt,5,1,1
754.txt,4,1,0
755.txt,3,1,0
759.txt,5,1,1
760.txt,5,9,7
761.txt,5,1,1
762.txt,6,1,0
763.txt,5,1,1
765.txt,6,1,0
769.txt,7,2,1
772.txt,13,6,5
773.txt,8,4,4
774.txt,6,3,2
776.txt,8,3,1
777.txt,10,4,2
778.txt,5,1,1
780.txt,8,1,2
782.txt,3,1,0
783.txt,6,2,3
784.txt,8,8,2
786.txt,3,2,2
788.txt,7,1,1
789.txt,8,1,1
790.txt,4,1,0
791.txt,6,1,1
797.txt,11,2,2
800.txt,15,8,10
802.txt,5,10,4
803.txt,5,2,0
804.txt,8,3,4
805.txt,6,1,1
806.txt,8,3,2
808.txt,8,6,8
809.txt,5,1,1
810.txt,7,2,2
811.txt,5,1,0
812.txt,7,2,0
813.txt,8,5,4
814.txt,7,6,3
816.txt,9,5,4
817.txt,9,3,0
818.txt,5,2,2
819.txt,3,1,1
820.txt,7,3,3
821.txt,6,2,3
822.txt,12,6,3
824.txt,6,2,1
825.txt,3,5,3
827.txt,5,2,1
828.txt,11,5,4
830.txt,5,3,1
831.txt,4,1,2
832.txt,3,1,0
834.txt,5,1,1
835.txt,10,2,1
836.txt,8,1,1
837.txt,6,2,1
838.txt,8,5,2
840.txt,4,4,1
841.txt,9,3,2
843.txt,7,2,1
845.txt,4,1,0
846.txt,6,1,1
847.txt,7,3,2
848.txt,9,4,6
849.txt,12,1,2
851.txt,11,6,2
854.txt,18,3,6
855.txt,4,3,1
856.txt,12,4,3
858.txt,5,1,1
859.txt,6,2,1
860.txt,8,4,3
861.txt,4,1,0
862.txt,5,1,0
864.txt,4,2,1
867.txt,8,6,3
868.txt,7,4,1
870.txt,4,1,0
872.txt,6,1,1
874.txt,8,2,0
875.txt,14,1,0
876.txt,7,1,1
877.txt,12,5,5
878.txt,5,4,3
880.txt,4,1,1
884.txt,6,1,1
885.txt,8,2,0
890.txt,5,1,1
892.txt,8,5,1
895.txt,9,4,3
897.txt,6,5,0
898.txt,4,1,0
900.txt,7,2,1
901.txt,7,4,3
902.txt,5,2,2
903.txt,7,5,3
904.txt,7,3,1
906.txt,5,1,1
907.txt,7,3,4
908.txt,7,4,1
910.txt,8,4,3
914.txt,5,1,1
915.txt,9,2,1
916.txt,5,1,0
917.txt,7,1,0
919.txt,3,1,0
922.txt,4,1,1
923.txt,7,6,5
924.txt,7,3,2
925.txt,5,3,4
927.txt,6,1,1
929.txt,7,3,0
930.txt,5,1,1
933.txt,4,1,0
934.txt,9,4,2
938.txt,4,1,0
942.txt,7,1,0
944.txt,5,2,2
945.txt,5,4,3
948.txt,4,1,1
949.txt,12,2,0
952.txt,8,4,2
953.txt,7,4,2
954.txt,5,3,3
955.txt,10,2,1
956.txt,6,4,4
957.txt,6,1,0
959.txt,5,1,2
960.txt,6,1,1
961.txt,9,2,2
963.txt,5,1,1
966.txt,7,4,1
969.txt,6,1,1
972.txt,4,3,2
973.txt,9,4,3
974.txt,7,2,0
975.txt,6,3,1
976.txt,7,2,2
978.txt,9,5,4
979.txt,5,2,1
981.txt,2,1,1
983.txt,11,3,4
984.txt,8,4,1
987.txt,4,1,0
989.txt,5,1,1
991.txt,5,1,2
992.txt,13,3,5
995.txt,4,1,1
997.txt,8,2,0
998.txt,5,3,3
1000.txt,10,3,8
1001.txt,5,2,2
1002.txt,3,1,1
1003.txt,15,5,5
1004.txt,8,4,2
1007.txt,7,1,0
1012.txt,6,6,3
1013.txt,5,2,2
1014.txt,7,2,0
1015.txt,4,2,0
1016.txt,5,10,8
1017.txt,5,2,0
1018.txt,5,1,1
1019.txt,6,1,0
1020.txt,4,1,1
1021.txt,2,3,2
1022.txt,5,2,1
1023.txt,7,1,0
1025.txt,5,1,1
1027.txt,8,2,0
1029.txt,3,1,1
1030.txt,7,1,1
1031.txt,3,3,0
1032.txt,6,3,2
1033.txt,4,4,2
1034.txt,6,2,2
1035.txt,8,2,0
1036.txt,5,1,0
1037.txt,7,4,2
1040.txt,9,4,2
1041.txt,6,1,1
1043.txt,7,2,3
1044.txt,9,2,3
1045.txt,4,1,1
1048.txt,5,2,0
1050.txt,5,4,2
1053.txt,11,3,3
1054.txt,5,1,0
1056.txt,9,7,7
1058.txt,9,2,3
1059.txt,5,3,4
1060.txt,5,2,1
1061.txt,5,1,1
1062.txt,10,1,0
1063.txt,7,2,1
1064.txt,6,4,3
1065.txt,12,2,0
1069.txt,4,4,2
1070.txt,15,2,0
1071.txt,8,2,0
1072.txt,7,3,3
1073.txt,9,5,4
1074.txt,6,1,2
1075.txt,18,7,5
1076.txt,9,6,2
1077.txt,4,1,0
1079.txt,8,2,2
1080.txt,12,7,4
1081.txt,9,3,2
1082.txt,5,3,3
1085.txt,6,4,2
1086.txt,5,2,0
1087.txt,7,4,2
1088.txt,4,3,2
1089.txt,9,3,3
1092.txt,2,1,0
1094.txt,6,2,1
1095.txt,11,5,6
1097.txt,11,3,0
1098.txt,6,5,6
1100.txt,4,7,2
1101.txt,5,1,1
1102.txt,8,5,6
1103.txt,8,2,1
1104.txt,4,2,2
1105.txt,13,3,2
1106.txt,8,1,1
1107.txt,4,3,1
1108.txt,6,1,2
1110.txt,8,2,0
1111.txt,10,2,2
1112.txt,16,4,4
1113.txt,10,3,6
1116.txt,5,2,0
1117.txt,9,3,7
1119.txt,6,4,5
1120.txt,8,2,2
1121.txt,5,1,1
1123.txt,9,3,1
1124.txt,11,3,3
1125.txt,14,7,4
1126.txt,14,6,3
1127.txt,6,1,2
1128.txt,4,4,2
1129.txt,13,2,2
1130.txt,11,2,3
1131.txt,7,1,1
1133.txt,5,3,1
1134.txt,6,1,0
1135.txt,4,1,1
1139.txt,6,3,2
1140.txt,4,2,0
1143.txt,4,3,2
1145.txt,9,1,2
1146.txt,8,1,0
1149.txt,6,1,1
1150.txt,4,1,0
1152.txt,7,3,2
1154.txt,7,3,2
1155.txt,10,1,2
1157.txt,5,2,2
1158.txt,5,2,2
1160.txt,8,5,3
1164.txt,3,4,0
1166.txt,6,4,3
1167.txt,13,7,3
1169.txt,12,5,8
1170.txt,5,1,2
1171.txt,4,3,4
1173.txt,6,6,4
1174.txt,8,2,2
1177.txt,6,2,1
1179.txt,8,4,1
1180.txt,7,2,2
1181.txt,17,5,6
1184.txt,5,3,1
1185.txt,9,3,1
1187.txt,6,1,0
